Date,Close
6/22/17,39.592499
6/23/17,38.4575
6/26/17,38.037498
6/27/17,36.645
6/28/17,37.9375
6/29/17,36.669998
6/30/17,36.139999
7/3/17,34.8325
7/5/17,35.762501
7/6/17,35.869999
7/7/17,36.689999
7/10/17,38.424999
7/11/17,38.970001
7/12/17,40.627499
7/13/17,40.157501
7/14/17,41.237499
7/17/17,41.0625
7/18/17,41.490002
7/19/17,41.275002
7/20/17,41.875
7/21/17,42.025002
7/24/17,41.537498
7/25/17,41.337502
7/26/17,41.814999
7/27/17,40.435001
7/28/17,41.0975
7/31/17,40.627499
8/1/17,41.122501
8/2/17,41.0975
8/3/17,41.619999
8/4/17,41.802502
8/7/17,43.087502
8/8/17,42.575001
8/9/17,43.0275
8/10/17,41.185001
8/11/17,38.990002
8/14/17,42.099998
8/15/17,41.744999
8/16/17,41.287498
8/17/17,40.3675
8/18/17,40.375
8/21/17,39.787498
8/22/17,40.637501
8/23/17,41.450001
8/24/17,41.297501
8/25/17,40.952499
8/28/17,41.2425
8/29/17,41.174999
8/30/17,41.419998
8/31/17,42.360001
9/1/17,42.615002
9/5/17,41.477501
9/6/17,41.452499
9/7/17,41.645
9/8/17,40.922501
9/11/17,42.25
9/12/17,42.4025
9/13/17,42.592499
9/14/17,42.349998
9/15/17,45.0275
9/18/17,46.887501
9/19/17,46.837502
9/20/17,46.459999
9/21/17,45.189999
9/22/17,44.75
9/25/17,42.75
9/26/17,42.990002
9/27/17,43.932499
9/28/17,43.919998
9/29/17,44.692501
10/2/17,44.75
10/3/17,44.842499
10/4/17,45.217499
10/5/17,45.192501
10/6/17,45.325001
10/9/17,46.3475
10/10/17,47.232498
10/11/17,47.735001
10/12/17,47.7575
10/13/17,48.647499
10/16/17,49.482498
10/17/17,49.4375
10/18/17,49.395
10/19/17,49.450001
10/20/17,49.224998
10/23/17,49.154999
10/24/17,49.669998
10/25/17,48.415001
10/26/17,48.922501
10/27/17,50.465
10/30/17,50.959999
10/31/17,51.702499
11/1/17,51.799999
11/2/17,51.485001
11/3/17,52.172501
11/6/17,52.407501
11/7/17,53.0075
11/8/17,52.290001
11/9/17,51.330002
11/10/17,54.035
11/13/17,53.157501
11/14/17,53.544998
11/15/17,52.494999
11/16/17,52.9025
11/17/17,52.84
11/20/17,53.52
11/21/17,54.012501
11/22/17,53.732498
11/24/17,54.240002
11/27/17,53.535
11/28/17,52.677502
11/29/17,49.105
11/30/17,50.177502
12/1/17,49.419998
12/4/17,46.665001
12/5/17,46.935001
12/6/17,47.314999
12/7/17,47.997501
12/8/17,47.872501
12/11/17,48.665001
12/12/17,47.709999
12/13/17,46.544998
12/14/17,46.6175
12/15/17,47.889999
12/18/17,49.474998
12/19/17,49.0275
12/20/17,49.200001
12/21/17,48.9725
12/22/17,48.817501
12/26/17,49.360001
12/27/17,49.2925
12/28/17,49.349998
12/29/17,48.375
1/2/18,49.837502
1/3/18,53.1175
1/4/18,53.397499
1/5/18,53.849998
1/8/18,55.5
1/9/18,55.485001
1/10/18,55.919998
1/11/18,56.02
1/12/18,55.744999
1/16/18,55.0275
1/17/18,56.18
1/18/18,56.110001
1/19/18,57.5275
1/22/18,58.422501
1/23/18,59.727501
1/24/18,58.950001
1/25/18,59.087502
1/26/18,60.8325
1/29/18,61.712502
1/30/18,60.68
1/31/18,61.450001
2/1/18,60.125
2/2/18,58.380001
2/5/18,53.424999
2/6/18,56.395
2/7/18,57.200001
2/8/18,54.380001
2/9/18,58.02
2/12/18,57.0075
2/13/18,58.157501
2/14/18,60.355
2/15/18,61.625
2/16/18,60.959999
2/20/18,62.27
2/21/18,60.377499
2/22/18,60.537498
2/23/18,61.482498
2/26/18,61.645
2/27/18,61.514999
2/28/18,60.5
3/1/18,58.052502
3/2/18,59.134998
3/5/18,58.912498
